wine,Chips,bread,butter,milk,Apple
wine,,bread,butter,milk,
,,bread,butter,milk,
,Chips,,,,Apple
wine,Chips,bread,butter,milk,Apple
wine,Chips,,,milk,
wine,Chips,bread,butter,,Apple
wine,Chips,,,milk,
wine,,bread,,,Apple
wine,,bread,butter,milk,Apple
,Chips,bread,butter,,Apple
wine,,,butter,milk,
wine,Chips,bread,butter,milk,Apple
wine,,bread,,milk,Apple
wine,,bread,butter,milk,Apple
wine,Chips,bread,butter,milk,Apple
,Chips,bread,butter,milk,Apple
,Chips,,butter,milk,Apple
wine,Chips,bread,butter,milk,Apple
wine,,bread,butter,milk,Apple
wine,Chips,bread,,milk,Apple
,Chips,,,,
